,age,sire,dam,dam_sire,stud_fee,total_starts,total_earnings,top_rpr,sire_comments
Acclamation,Sire:,Royal Applause right,Princess Athena right,Ahonoora right,"€27,500",16,"£361,753",118,"high-class multiple winning sprinter as 2-4yo, excellent source of precocious and speedy 2yos"
Aclaim,8yo:,Acclamation,Aris,Danroad,"£6,000",14,"£438,081",118,"progressive miler; won Prix de la Foret at 4; closely related to Irish 1,000 Guineas winner Again"
Adaay,9yo:,Kodiac,Lady Lucia,Royal Applause,"£5,000",17,"£236,934",116,"240,000gns 2yo; 6f winner at 2, dual 6-7f Group 2 winner at 3; half-brother to Mullionmileanhour"
Advertise,5yo:,Showcasing,Furbelow,Pivotal,"£25,000",10,"£904,358",121,3 x G1-winning sprinter; landed Phoenix Stakes at 2; Maurice de Gheest & Commonwealth Cup at 3
Al Kazeem,13yo:,Dubawi,Kazeem,Darshaan,Private,23,"£1,573,596",126,"1m winner at 2; four time Group 1 winner, inc two Tattersalls Gold Cups; from high-class family"
Ardad,7yo:,Kodiac,Good Clodora,Red Clubs,"£12,500",9,"£93,398",107,"£170,000 2yo; high-class juvenile sprinter, inc Group 2 Flying Childers Stakes"
Australia,10yo:,Galileo,Ouija Board,Cape Cross,"€35,000",8,"£2,090,503",129,"Won Group 3 at 2; outstanding 3yo, inc Derby & Irish Derby; impeccably bred son of Ouija Board"
Awtaad,8yo:,Cape Cross,Asheerah,Shamardal,"€5,000",9,"£365,770",122,"7f maiden winner as 2yo; top-class miler at 3, inc Irish 2,000 Guineas, family of Seattle Dancer"
Axxos,17yo:,Monsun,Acerbis,Rainbow Quest,"£1,500",10,"£178,993",110,"1m3f Goup 2 winner at 3 in Germany, also runner-up in the Grand Prix de Paris at 3; NH sire"
Bated Breath,14yo:,Dansili,Tantina,Distant View,"£15,000",18,"£419,945",122,"High-class sprinter; four time Group 1 runner-up, won Temple Stakes; half-brother to Cityscape"
Belardo,9yo:,Lope De Vega,Danaskaya,Danehill,"€9,000",16,"£901,642",122,"top-class 2yo, inc Dewhurst; won Lockinge at 4; family of Abbaye winner Kistena"
Blue Bresil,16yo:,Smadoun,Miss Recif,Exit To Nowhere,Private,5,"£106,020",130,1m1½f winner at 2; twice Group 2 placed over 1m3f at 3; later 2m3½f Grade 2 runner-up over hurdles
Blue Point,7yo:,Shamardal,Scarlett Rose,Royal Applause,"€40,000",20,"£2,631,333",127,"Progressive sprinter, won Gimcrack as 2yo; awesome as a 5yo, inc King's Stand & Diamond Jubilee"
Bobby's Kitten,10yo:,Kitten's Joy,Celestial Woods,Forestry,"£7,000",14,"£845,968",118,"High-class 2yo, inc Grade 3; won Breeders' Cup Turf Sprint at 3; from high-class US family"
Bungle Inthejungle,11yo:,Exceed And Excel,Licence To Thrill,Wolfhound,"€8,000",17,"£90,639",108,precocious and high-class dual 5f Group 3 winner at 2; from good speedy family
Buratino,8yo:,Exceed And Excel,Bergamask,Kingmambo,"€5,000",11,"£163,772",117,"tough and classy 2yo, inc Coventry Stakes; unplaced at 3; related to Danehill Dancer"
Cable Bay,10yo:,Invincible Spirit,Rose De France,Diktat,"£8,000",20,"£325,037",117,"high-class over 6-7f at 2, inc Dewhurst runner-up; dual 7f Group winner at 4, family of Mukhadram"
Calyx,5yo:,Kingman,Helleborine,Observatory,"€12,500",4,"£154,958",118,"Lightly-raced sprinter; unbeaten at 2, inc Coventry Stakes; won Group 2 as 3yo; Juddmonte family"
Camacho,19yo:,Danehill,Arabesque,Zafonic,"€5,000",6,"£36,617",115,"useful 3yo sprinter, from good family; good source of 2yo winners, sire of Pouliches wnr Teppal"
Camelot,12yo:,Montjeu,Tarfah,Kingmambo,"€75,000",10,"£1,926,569",126,"Won Racing Post Trophy at two; champion 3yo, inc Guineas, Derby & Irish Derby"
Cappella Sansevero,9yo:,Showcasing,Madam President,Royal Applause,"€4,000",10,"£123,687",112,"Group class sprint 2yo, won Round Tower Stakes & Coventry Stakes 2nd, from fine family"
Charm Spirit,10yo:,Invincible Spirit,L'Enjoleuse,Montjeu,"€7,000",9,"£1,166,106",124,"high-class 7f at 2, triple Group 1 winning miler at 3, inc Queen Elizabeth II Stakes; good family"
Charming Thought,9yo:,Oasis Dream,Annabelle's Charm,Indian Ridge,"£4,000",7,"£137,072",117,"625,000gns yearling; high-class juvenile, inc Middle Park Stakes; family of Aristotle & Ballingarry"
Churchill,7yo:,Galileo,Meow,Storm Cat,"€25,000",12,"£1,343,698",125,Champion 2yo colt in Europe and dual Guineas winner at 3; from speedy family
Cityscape,15yo:,Selkirk,Tantina,Distant View,"£4,000",23,"£2,992,356",126,"1m winner at 2, inc Group 1 2nd; high-class from 3-7, inc Dubai Duty Free; Bated Breath half-brother"
Clodovil,Sire:,Danehill,Clodora,Linamix,"€5,000",8,"£186,249",117,"unbeaten minor winner at 2, top-class miler at 3, inc French Guineas; dam high-class G2 winner"
Cockney Rebel,Died as a 17yo:,Val Royal,Factice,Known Fact,"£1,000",6,"£448,721",123,smart 2yo; top-class 3yo miler winning English & Irish Guineas; dual-purpose sire
Cotai Glory,9yo:,Exceed And Excel,Continua,Elusive Quality,"€5,000",30,"£315,811",117,"tough, durable and smart sprinter from 2-5yo; Group 3 winner over 5f at 2"
Coulsty,10yo:,Kodiac,Hazium,In The Wings,"€4,000",26,"£197,736",114,"classy sprinter, inc Group 3 6f as 3yo; related to tough/prolific sorts Dhhamaan and Gap Princess"
Cracksman,7yo:,Frankel,Rhadegunda,Pivotal,"17,500 GBG",11,"£2,793,064",131,"1m winner as 2yo; champion 3yo colt & four time Group 1 winner as 3-4yo, inc dual Champion Stakes"
Dandy Man,18yo:,Mozart,Lady Alexander,Night Shift,"€15,000",30,"£285,836",122,"useful 2yo; high-class sprinter at 3-6, inc King's Stand runner-up at 4; dam won Molecomb Stakes"
Dark Angel,16yo:,Acclamation,Midnight Angel,Machiavellian,"€60,000",9,"£341,306",114,"top-class 2yo, inc Mill Reef & Middle Park Stakes; retired sound at 2; leading sire of sprinters"
Decorated Knight,9yo:,Galileo,Pearling,Storm Cat,"€7,500",18,"£1,301,098",121,"progressed into three-time Gr1 winner at 5, inc Irish Champion Stakes; from prolific Group 1 family"
Dragon Pulse,12yo:,Kyllachy,Poetical,Croco Rouge,"€2,000",7,"£128,411",116,"E120,000 yearling; high-class 2yo, won Futurity Stakes & National Stakes 2nd; won 1m Group 3 at 3"
Dubawi,19yo:,Dubai Millennium,Zomaradah,Deploy,"£250,000",8,"£699,341",128,"unbeaten 2yo, inc National Stakes; won Irish Guineas & Jacques le Marois at 3; exceptional sire"
Due Diligence,10yo:,War Front,Bema,Pulpit,"£6,000",9,"£202,818",116,"5f winner at 2 in US; high-class sprinter at 3 in Europe, inc runner-up in Diamond Jubilee"
Dutch Art,17yo:,Medicean,Halland Park Lass,Spectrum,Private,10,"£461,889",122,"top-class 2yo, inc Prix Morny & Middle Park; high-class 6-7f as 3yo; good source of sprinters/milers"
Elusive Pimpernel,14yo:,Elusive Quality right,Cara Fantasy right,Sadler's Wells right,"€2,500",11,"£151,356",116,"high-class over 7f-1m at 2, inc Acomb Stakes; won Craven as 3yo; family of Big Bad Bob & Snow Fairy"
Elzaam,13yo:,Redoute's Choice right,Mambo In Freeport right,Kingmambo right,"€5,000",10,"£89,634",117,"Australian bred group-class 2yo, inc runner-up in the Coventry Stakes; 6f Listed winner at 3"
Eqtidaar,6yo:,Invincible Spirit right,Madany right,Acclamation right,"£5,000",7,"£309,351",115,High-class sprinter; 6f winner as a juvenile; won Group 1 Commonwealth Cup at 3
Equiano,16yo:,Acclamation,Entente Cordiale,Ela-Mana-Mou,"€3,000",27,"£571,273",123,"2yo winner in Spain; later top-class sprinter at 3-5, inc 2008 and 2010 King's Stand Stakes"
Estidhkaar,9yo:,Dark Angel,Danetime Out,Danetime,"€5,000",10,"£153,688",118,"dual Group 2 winner at 2, inc Champagne Stakes; 1m Listed winner at 4, half-brother to Toormore"
Expert Eye,6yo:,Acclamation,Exemplify,Dansili,"£10,000",10,"£1,369,751",120,"high-class 2yo, inc Vintage Stakes; won Breeders' Cup Mile as 3yo; from family of Special Duty"
Falco,16yo:,Pivotal,Icelips,Unbridled,"£3,500",7,"£192,549",122,"top-class miler in France, inc French 2000 Guineas; dual purpose sire"
Farhh,13yo:,Pivotal,Gonbarda,Lando,Private,10,"£1,328,152",127,7f 2yo winner; top-class won Lockinge & Champion Stakes at 5; five times Group-1 placed over 1m-1m2f
Fascinating Rock,10yo:,Fastnet Rock,Miss Polaris,Polar Falcon,"€5,000",15,"£1,152,569",125,"top-class and progressive middle-distance performer, inc G1 Champion Stakes & Tattersalls Gold Cup"
Flag Of Honour,6yo:,Galileo right,Hawala right,Warning right,"£2,500",16,"£555,704",116,Barronstown Stud
Footstepsinthesand,19yo:,Giant's Causeway right,Glatisant right,Rainbow Quest right,"€12,500",3,"£226,451",118,"lightly raced, smart 6-7f 2yo, won 2000 Guineas on only start at 3; smart family"
Frankel,13yo:,Galileo right,Kind right,Danehill right,"£200,000",14,"£2,998,302",143,Highest-ever rated racehorse by RPRs; unbeaten 10-time Group 1 winner; from fine family
Free Eagle,10yo:,High Chaparral right,Polished Gem right,Danehill right,"€8,000",8,"£592,523",124,"smart over 1m at 2, top-class over 10-12f winner at 3-4, inc Prince of Wales's Stakes; top family"
Galileo,Died as a 23yo:,Sadler's Wells right,Urban Sea right,Miswaki right,Private,7,"£1,621,110",132,"champion 3yo colt, inc Derby, Irish Derby & King George; from outstanding family; phenomenal sire"
Galileo Gold,8yo:,Paco Boy right,Galicuix right,Galileo right,"€5,000",12,"£960,886",123,Top-class miler; G2 Vintage Stakes at 2; won 2000 Guineas & St James's Palace Stakes at 3
Gleneagles,9yo:,Galileo right,You'resothrilling right,Storm Cat right,"€15,000",10,"£934,200",124,"Top-class 2yo, inc National Stakes; thrice G1 winner at 3, inc dual 2000 Guineas outstanding family"
Golden Horn,9yo:,Cape Cross right,Fleche D'Or right,Dubai Destination right,"£10,000",9,"£4,438,651",132,"1m 2yo winner; champion 3yo & horse of the year; won Derby, Eclipse, Irish Champion Stakes & Arc"
Gregorian,12yo:,Clodovil right,Three Days In May right,Cadeaux Genereux right,"€5,000",25,"£434,913",118,"high-class 7-8.5f winner at 2-5, inc Group 2 Hungerford Stakes at 4; from family of Premio Loco"
Gustav Klimt,6yo:,Galileo right,Massarra right,Danehill right,"€4,000",13,"£391,233",119,"won Superlative Stakes as 2yo; thrice placed in G1's at 3, inc Irish 2,000 Guineas & Sprint Cup"
Haafhd,20yo:,Alhaarth right,Al Bahathri right,Blushing Groom right,"£2,000",9,"£492,288",127,High-class over 6-7f as 2yo; won Guineas & Champion Stakes; out of champion Al Bahathri
Harbour Law,8yo:,Lawman right,Abunai right,Pivotal right,"£2,000",7,"£473,615",116,unraced at two; won St Leger at three and third in Ascot Gold Cup at four; family of Inchinor
Harry Angel,7yo:,Dark Angel right,Beatrix Potter right,Cadeaux Genereux right,"£12,500",12,"£873,503",128,"high-class 2yo, inc Mill Reef; champion sprinter as 3yo, inc Sprint Cup & July Cup; high-class at 4"
Harzand,8yo:,Sea The Stars right,Hazariya right,Xaar right,"€5,000",7,"£1,535,850",124,"high-class 3yo; won Derby and Irish Derby, from top Aga Khan family"
Havana Gold,11yo:,Teofilo right,Jessica's Dream right,Desert Style right,"£12,500",11,"£367,267",113,"high-class & tough 2yo, inc Group 3; won Group 1 Prix Jean Prat at 3; speedy family"
Havana Grey,6yo:,Havana Gold right,Blanc De Chine right,Dark Angel right,"£6,000",16,"£416,421",115,"high-class 2yo, inc Molecomb Stakes; won Group 1 Flying Five Stakes at 3; from speedy family"
