,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings
Acclamation,572/995,1501,14589,"£19,719,948",460/954,1014,9769,"£16,313,951",263/752,487,4820,"£3,405,997",13/71,38,494,"£376,847",3/7,8,62,"£74,199",13/68,29,423,"£297,176",1/7,1,9,"£5,471",181/383,424,3927,"£6,077,822",308/800,408,3251,"£6,311,008",,,,,388/834,875,7862,"£12,184,575",248/755,559,5900,"£6,680,205",26/173,40,543,"£607,237",13/70,17,190,"£172,058",17/28,10,94,"£75,873",26/173,29,321,"£391,353",98/519,123,1214,"£1,513,813",106/507,142,1297,"£1,905,444",215/814,305,3290,"£6,286,052",262/773,396,3383,"£6,167,445",16/102,20,150,"£166,278"
Aclaim,20/52,21,215,"£246,922",11/48,12,162,"£181,047",9/33,9,53,"£65,875",,,,,,,,,,,,,,,,,,,,,20/52,21,215,"£246,922",20/52,21,215,"£246,922",14/44,15,150,"£122,826",6/31,6,65,"£124,097",,,,,,,,,,,,,0/4,0,4,"£2,085",2/16,2,21,"£18,104",0/19,0,22,"£60,899",3/30,4,46,"£31,074",6/33,6,61,"£68,901",,,,
Adaay,34/101,53,688,"£655,953",27/92,36,443,"£505,527",14/85,17,245,"£150,425",0/1,0,2,"£2,418",,,,,0/1,0,2,"£2,418",,,,,,,,,21/89,28,378,"£388,951",14/51,18,217,"£266,358",24/85,34,387,"£441,606",11/67,13,264,"£161,479",3/12,3,26,"£21,837",1/3,1,4,"£4,891",1/2,2,7,"£26,140",2/18,3,21,"£27,715",8/42,8,70,"£56,382",6/44,6,70,"£68,516",10/65,13,137,"£276,112",5/70,5,133,"£100,292",1/5,1,6,"£5,425"
Aeroplane,0/1,0,1,—,,,,,0/1,0,1,—,1/6,1,38,"£10,845",0/1,0,6,"£3,363",1/4,1,26,"£6,386",0/6,0,6,"£1,097",,,,,,,,,,,,,,,,,0/1,0,1,—,,,,,,,,,,,,,0/2,0,5,£700,1/5,1,14,"£7,532",0/4,0,9,"£1,867",0/4,0,10,"£1,097",,,,,,,,
Aiken,,,,,,,,,,,,,0/2,0,7,"£2,798",,,,,0/1,0,4,"£1,830",0/2,0,3,£967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/2,0,2,"£1,478",,,,,0/2,0,3,£500,,,,,,,,
Air Chief Marshal,3/8,7,65,"£66,269",3/7,5,47,"£55,455",1/5,2,18,"£10,814",8/10,26,114,"£206,523",1/2,4,22,"£25,657",8/10,21,86,"£178,681",1/3,1,6,"£2,186",0/3,0,12,"£2,646",1/3,1,13,"£14,003",0/1,0,1,—,1/3,1,10,"£14,003",0/6,0,22,"£4,857",2/4,4,16,"£34,445",1/5,2,13,"£11,665",0/3,0,4,"£1,299",2/5,4,12,"£41,876",5/9,7,35,"£79,789",3/12,5,33,"£34,543",7/13,10,58,"£75,983",3/8,3,16,"£20,152",,,,
Al Kazeem,18/47,38,373,"£479,684",15/44,32,236,"£422,874",4/35,6,137,"£56,810",2/7,3,45,"£22,947",0/1,0,3,£357,2/6,3,38,"£21,303",0/2,0,4,"£1,286",,,,,5/28,7,80,"£111,513",2/7,3,19,"£49,691",4/20,11,80,"£164,823",8/40,14,167,"£140,027",7/24,11,86,"£139,035",2/16,2,37,"£35,099",0/3,0,3,£700,0/10,0,11,"£9,420",2/28,2,38,"£43,718",5/21,5,31,"£84,205",11/34,15,97,"£155,861",7/30,10,77,"£125,564",2/6,2,9,"£9,634"
Albaasil,2/12,2,82,"£21,397",1/9,1,22,"£5,379",1/10,1,60,"£16,018",0/1,0,1,—,,,,,,,,,0/1,0,1,—,,,,,0/4,0,20,"£3,835",,,,,1/8,2,55,"£19,797",0/10,0,23,"£1,200",,,,,0/1,0,4,£400,,,,,,,,,0/1,0,1,"£1,191",1/3,1,3,"£2,322",0/6,0,11,£985,0/7,0,8,£881,,,,
Alhebayeb,33/115,78,1158,"£1,068,683",27/108,51,830,"£858,186",11/72,27,328,"£210,497",6/20,12,94,"£95,273",,,,,5/15,11,79,"£88,403",1/6,1,15,"£6,870",,,,,16/87,19,379,"£302,844",9/49,9,227,"£120,858",16/79,30,418,"£321,873",21/98,37,601,"£599,096",4/34,4,91,"£78,283",1/18,1,29,"£11,108",1/6,6,19,"£58,323",6/31,8,55,"£123,221",6/53,7,120,"£131,004",5/36,6,67,"£70,447",16/88,22,300,"£297,461",9/69,9,208,"£170,610",0/6,0,6,"£1,456"
Alkaadhem,1/4,7,85,"£44,527",1/3,7,66,"£42,741",0/4,0,19,"£1,786",15/49,44,448,"£518,523",6/18,8,54,"£78,185",14/44,31,325,"£413,243",5/31,5,69,"£27,095",,,,,0/1,0,3,—,1/1,3,12,"£16,401",1/2,3,22,"£15,409",1/4,4,57,"£29,118",0/3,0,5,—,0/1,0,1,—,,,,,2/19,2,46,"£25,361",7/33,12,82,"£190,126",5/14,5,48,"£108,574",13/46,24,202,"£207,317",2/14,4,34,"£24,251",,,,
Anjaal,31/89,53,650,"£617,730",23/79,33,400,"£453,008",13/62,20,250,"£164,722",1/6,1,12,"£4,329",,,,,1/6,1,12,"£4,329",,,,,,,,,16/70,24,289,"£352,153",10/45,17,196,"£270,117",19/68,32,334,"£407,866",15/66,21,290,"£209,564",0/12,0,22,£300,0/3,0,3,—,1/1,0,1,—,3/14,3,18,"£30,264",2/32,3,53,"£35,413",3/26,3,38,"£137,627",10/61,11,151,"£133,377",9/45,11,94,"£114,108",0/5,0,6,"£2,485"
Arcadio,2/14,3,48,"£63,088",1/8,2,22,"£47,772",1/6,1,26,"£15,316",95/323,251,2601,"£3,103,486",40/99,88,627,"£1,484,796",72/269,132,1556,"£1,438,175",27/216,31,418,"£180,514",1/3,2,5,"£3,812",0/1,0,3,—,0/1,0,3,—,0/1,0,5,£144,0/4,0,9,£399,1/5,1,11,"£9,422",0/7,0,10,"£2,139",1/7,2,13,"£50,984",19/133,23,245,"£286,956",37/202,54,539,"£765,430",26/112,40,329,"£427,125",60/250,111,1018,"£1,499,135",5/43,6,57,"£49,654",,,,
Ardad,19/54,28,210,"£480,848",19/50,27,173,"£436,957",1/26,1,37,"£43,891",,,,,,,,,,,,,,,,,,,,,19/54,28,209,"£478,734",19/54,28,210,"£480,848",19/50,27,179,"£449,583",1/15,1,30,"£31,265",0/1,0,1,—,,,,,,,,,1/2,1,2,"£3,726",7/28,8,34,"£73,499",2/19,2,26,"£27,102",3/26,3,40,"£25,698",8/37,11,61,"£280,745",0/4,0,5,"£1,809"
Asian Heights,0/1,0,13,£831,0/1,0,6,£241,0/1,0,7,£591,4/15,8,94,"£55,797",0/5,0,13,"£4,501",4/13,6,72,"£47,392",2/6,2,9,"£3,904",,,,,,,,,,,,,,,,,0/1,0,1,—,0/1,0,1,—,0/1,0,6,£120,0/1,0,5,£711,0/5,0,9,£563,3/9,3,35,"£26,028",2/8,3,18,"£19,807",2/14,2,32,"£9,867",0/2,0,2,—,0/1,0,1,—
Ask,6/12,25,217,"£248,702",6/10,22,165,"£222,783",1/8,3,52,"£25,919",61/187,149,1453,"£1,394,911",27/55,46,340,"£493,759",49/150,87,899,"£804,086",14/107,16,214,"£97,065",,,,,0/3,0,9,£241,0/1,0,4,—,0/2,0,4,—,2/8,4,51,"£23,869",4/9,11,80,"£100,102",2/9,6,48,"£41,803",2/7,4,34,"£82,928",18/92,21,229,"£242,118",25/118,44,355,"£370,864",15/63,18,164,"£181,057",38/131,65,531,"£645,711",5/28,5,61,"£62,939",,,,
Assertive,37/77,110,1419,"£928,731",27/76,74,883,"£704,165",21/65,36,536,"£224,566",0/6,0,11,£350,,,,,0/5,0,10,£350,0/1,0,1,—,3/11,5,68,"£35,886",15/56,20,237,"£125,903",5/14,6,61,"£24,733",30/68,83,962,"£700,488",12/56,23,395,"£181,144",1/13,1,35,"£11,881",1/7,2,15,"£25,851",2/4,1,12,"£9,367",5/19,6,33,"£30,353",11/41,18,138,"£126,186",6/44,10,145,"£91,675",11/65,20,292,"£314,406",14/62,19,256,"£131,375",1/15,1,29,"£10,519"
Australia,112/230,233,1578,"£4,951,260",85/214,162,1114,"£4,299,482",46/148,71,464,"£651,779",5/29,6,127,"£82,785",0/2,0,4,£446,5/28,6,117,"£80,913",0/4,0,6,"£1,426",,,,,40/161,49,397,"£941,651",15/56,15,144,"£247,873",4/23,4,47,"£80,941",64/198,88,654,"£1,572,168",35/155,65,446,"£1,607,301",32/115,43,263,"£774,080",18/56,33,168,"£916,770",6/43,6,55,"£85,663",25/116,30,197,"£718,332",12/74,14,113,"£269,856",44/158,51,421,"£1,669,863",32/131,43,294,"£1,313,006",1/4,1,5,"£5,564"
Avonbridge,95/248,302,3483,"£2,157,725",73/230,162,1979,"£1,489,035",57/201,140,1504,"£668,690",9/40,26,327,"£143,417",2/5,4,30,"£28,368",8/35,21,278,"£113,278",1/9,1,19,"£1,771",26/52,60,583,"£742,151",46/187,62,868,"£630,703",,,,,59/202,175,1752,"£1,463,124",47/185,107,1400,"£557,608",11/62,13,215,"£80,034",2/33,3,79,"£17,615",5/10,4,37,"£39,342",4/38,4,64,"£24,482",16/118,21,324,"£151,193",22/138,35,367,"£248,648",42/187,61,730,"£664,501",42/191,59,728,"£515,113",6/38,8,61,"£32,454"
