,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings,age,sire,dam,dam_sire,stud_fee,total_starts,total_earnings,top_rpr,sire_comments
Acclamation,572/995,1501,14589,"£19,719,948",460/954,1014,9769,"£16,313,951",263/752,487,4820,"£3,405,997",13/71,38,494,"£376,847",3/7,8,62,"£74,199",13/68,29,423,"£297,176",1/7,1,9,"£5,471",181/383,424,3927,"£6,077,822",308/800,408,3251,"£6,311,008",,,,,388/834,875,7862,"£12,184,575",248/755,559,5900,"£6,680,205",26/173,40,543,"£607,237",13/70,17,190,"£172,058",17/28,10,94,"£75,873",26/173,29,321,"£391,353",98/519,123,1214,"£1,513,813",106/507,142,1297,"£1,905,444",215/814,305,3290,"£6,286,052",262/773,396,3383,"£6,167,445",16/102,20,150,"£166,278",Sire:,Royal Applause right,Princess Athena right,Ahonoora right,"€27,500",16,"£361,753",118,"high-class multiple winning sprinter as 2-4yo, excellent source of precocious and speedy 2yos"
Aclaim,20/52,21,215,"£246,922",11/48,12,162,"£181,047",9/33,9,53,"£65,875",,,,,,,,,,,,,,,,,,,,,20/52,21,215,"£246,922",20/52,21,215,"£246,922",14/44,15,150,"£122,826",6/31,6,65,"£124,097",,,,,,,,,,,,,0/4,0,4,"£2,085",2/16,2,21,"£18,104",0/19,0,22,"£60,899",3/30,4,46,"£31,074",6/33,6,61,"£68,901",,,,,8yo:,Acclamation,Aris,Danroad,"£6,000",14,"£438,081",118,"progressive miler; won Prix de la Foret at 4; closely related to Irish 1,000 Guineas winner Again"
Adaay,34/101,53,688,"£655,953",27/92,36,443,"£505,527",14/85,17,245,"£150,425",0/1,0,2,"£2,418",,,,,0/1,0,2,"£2,418",,,,,,,,,21/89,28,378,"£388,951",14/51,18,217,"£266,358",24/85,34,387,"£441,606",11/67,13,264,"£161,479",3/12,3,26,"£21,837",1/3,1,4,"£4,891",1/2,2,7,"£26,140",2/18,3,21,"£27,715",8/42,8,70,"£56,382",6/44,6,70,"£68,516",10/65,13,137,"£276,112",5/70,5,133,"£100,292",1/5,1,6,"£5,425",9yo:,Kodiac,Lady Lucia,Royal Applause,"£5,000",17,"£236,934",116,"240,000gns 2yo; 6f winner at 2, dual 6-7f Group 2 winner at 3; half-brother to Mullionmileanhour"
Al Kazeem,18/47,38,373,"£479,684",15/44,32,236,"£422,874",4/35,6,137,"£56,810",2/7,3,45,"£22,947",0/1,0,3,£357,2/6,3,38,"£21,303",0/2,0,4,"£1,286",,,,,5/28,7,80,"£111,513",2/7,3,19,"£49,691",4/20,11,80,"£164,823",8/40,14,167,"£140,027",7/24,11,86,"£139,035",2/16,2,37,"£35,099",0/3,0,3,£700,0/10,0,11,"£9,420",2/28,2,38,"£43,718",5/21,5,31,"£84,205",11/34,15,97,"£155,861",7/30,10,77,"£125,564",2/6,2,9,"£9,634",13yo:,Dubawi,Kazeem,Darshaan,Private,23,"£1,573,596",126,"1m winner at 2; four time Group 1 winner, inc two Tattersalls Gold Cups; from high-class family"
Ardad,19/54,28,210,"£480,848",19/50,27,173,"£436,957",1/26,1,37,"£43,891",,,,,,,,,,,,,,,,,,,,,19/54,28,209,"£478,734",19/54,28,210,"£480,848",19/50,27,179,"£449,583",1/15,1,30,"£31,265",0/1,0,1,—,,,,,,,,,1/2,1,2,"£3,726",7/28,8,34,"£73,499",2/19,2,26,"£27,102",3/26,3,40,"£25,698",8/37,11,61,"£280,745",0/4,0,5,"£1,809",7yo:,Kodiac,Good Clodora,Red Clubs,"£12,500",9,"£93,398",107,"£170,000 2yo; high-class juvenile sprinter, inc Group 2 Flying Childers Stakes"
Australia,112/230,233,1578,"£4,951,260",85/214,162,1114,"£4,299,482",46/148,71,464,"£651,779",5/29,6,127,"£82,785",0/2,0,4,£446,5/28,6,117,"£80,913",0/4,0,6,"£1,426",,,,,40/161,49,397,"£941,651",15/56,15,144,"£247,873",4/23,4,47,"£80,941",64/198,88,654,"£1,572,168",35/155,65,446,"£1,607,301",32/115,43,263,"£774,080",18/56,33,168,"£916,770",6/43,6,55,"£85,663",25/116,30,197,"£718,332",12/74,14,113,"£269,856",44/158,51,421,"£1,669,863",32/131,43,294,"£1,313,006",1/4,1,5,"£5,564",10yo:,Galileo,Ouija Board,Cape Cross,"€35,000",8,"£2,090,503",129,"Won Group 3 at 2; outstanding 3yo, inc Derby & Irish Derby; impeccably bred son of Ouija Board"
Awtaad,33/78,58,466,"£715,941",22/68,41,313,"£604,184",14/56,17,153,"£111,756",1/5,1,11,"£8,984",,,,,0/4,0,9,"£6,639",1/1,1,2,"£2,345",,,,,16/67,17,178,"£198,867",13/52,13,129,"£131,308",8/28,10,118,"£96,603",24/71,39,284,"£493,028",3/17,6,40,"£91,386",1/11,1,17,"£15,645",2/3,2,7,"£19,278",1/11,1,11,"£44,175",4/31,5,39,"£60,566",3/14,4,25,"£56,157",14/57,15,124,"£219,990",12/50,14,94,"£161,782",1/2,1,2,"£10,717",8yo:,Cape Cross,Asheerah,Shamardal,"€5,000",9,"£365,770",122,"7f maiden winner as 2yo; top-class miler at 3, inc Irish 2,000 Guineas, family of Seattle Dancer"
Axxos,,,,,,,,,,,,,3/5,15,79,"£204,685",3/3,4,27,"£98,557",3/5,9,46,"£99,190",1/2,2,6,"£6,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/3,2,5,"£12,832",3/5,6,29,"£81,089",1/5,1,17,"£24,726",3/5,5,27,"£82,789",,,,,,,,,17yo:,Monsun,Acerbis,Rainbow Quest,"£1,500",10,"£178,993",110,"1m3f Goup 2 winner at 3 in Germany, also runner-up in the Grand Prix de Paris at 3; NH sire"
Bated Breath,178/349,403,3455,"£5,229,373",126/320,252,2134,"£4,061,146",91/265,151,1321,"£1,168,227",2/19,2,58,"£21,382",,,,,1/17,1,51,"£14,123",1/2,1,7,"£7,259",1/5,3,23,"£30,743",78/239,105,808,"£1,522,763",14/44,18,166,"£195,192",102/250,195,1484,"£2,552,502",99/279,180,1626,"£2,394,299",13/86,18,247,"£193,254",5/32,10,84,"£81,276",0/9,0,14,"£8,042",6/61,6,76,"£105,558",25/155,30,310,"£467,767",29/149,32,272,"£474,643",68/239,98,694,"£1,905,788",54/233,80,681,"£1,104,252",3/17,3,22,"£22,694",14yo:,Dansili,Tantina,Distant View,"£15,000",18,"£419,945",122,"High-class sprinter; four time Group 1 runner-up, won Temple Stakes; half-brother to Cityscape"
Belardo,28/65,54,421,"£656,600",23/60,42,296,"£553,221",9/41,12,125,"£103,378",0/1,0,2,"£2,500",,,,,0/1,0,2,"£2,500",,,,,,,,,15/56,23,185,"£336,776",10/36,16,120,"£269,678",11/36,14,118,"£168,859",19/56,30,239,"£393,542",5/16,9,51,"£77,241",1/7,1,12,"£15,938",0/1,0,1,"£1,021",1/13,1,17,"£11,901",4/30,4,53,"£120,916",5/22,6,37,"£68,403",12/40,18,89,"£211,509",6/33,9,66,"£70,532",0/1,0,2,£634,9yo:,Lope De Vega,Danaskaya,Danehill,"€9,000",16,"£901,642",122,"top-class 2yo, inc Dewhurst; won Lockinge at 4; family of Abbaye winner Kistena"
